# time nusers response_time n_servers global_load_avg global_mem_util avg_num_apps_per_server
   1110.0 222    15.284 3    0.5367    0.5429 32
   1120.0 224    17.014 3    0.5662    0.5438 32
   1130.0 226    15.539 3    0.5721    0.5574 37
   1140.0 228    16.205 3    0.5721    0.5711 38
   1150.0 230    15.717 3    0.6147    0.5688 38
   1160.0 232    17.495 3    0.6435    0.5796 40
   1170.0 234    15.939 3    0.6320    0.5822 37
   1180.0 236    17.195 3    0.6325    0.5862 39
   1190.0 238    16.486 3    0.6362    0.5942 40
   1200.0 240    16.092 3    0.6362    0.5977 40
   1210.0 242    17.042 3    0.6788    0.6011 40
   1220.0 244    16.397 3    0.6689    0.6092 40
   1230.0 246    17.113 3    0.6749    0.6100 40
   1240.0 248    16.392 3    0.6730    0.6130 40
   1250.0 250    17.594 3    0.6842    0.6149 40
   1260.0 252    16.612 3    0.6842    0.6231 40
   1270.0 254    14.848 3    0.6182    0.6199 38
   1280.0 256    18.088 3    0.6934    0.6208 37
   1290.0 258    18.373 3    0.7176    0.6291 38
   1300.0 260    17.239 3    0.7200    0.6343 38
   1310.0 262    16.738 3    0.7226    0.6350 38
   1320.0 264    16.714 3    0.7226    0.6409 38
   1330.0 266    17.180 3    0.7670    0.6422 38
   1340.0 268    18.583 3    0.7748    0.6535 38
   1350.0 270    18.947 3    0.7996    0.6506 38
   1360.0 272    18.400 3    0.8135    0.6566 38
   1370.0 274    17.623 3    0.8137    0.6642 38
   1380.0 276    17.768 3    0.8069    0.6663 38
   1390.0 278    17.170 5    0.4858    0.4593 41
   1400.0 280    17.713 5    0.4913    0.4584 41
   1410.0 282    17.634 5    0.4918    0.4612 41
   1420.0 284    16.967 5    0.4897    0.4652 41
   1430.0 286    18.134 5    0.4929    0.4640 41
   1440.0 288    16.091 5    0.4929    0.4702 40
   1450.0 290    15.550 5    0.4479    0.4686 39
   1460.0 292    14.813 5    0.4242    0.4688 39
   1470.0 294    15.495 5    0.4302    0.4705 39
